category,terms,id,unknown,id2,tweetid,guid,link,author,title,description,pubdate,source,favoritecount,retweetcount,lang,quotedtext,tweettype,inreplytoscreenname,inreplytouserid,inreplytostatusid,retweetedscreenname,retweeteduserid,retweetedstatusid,userid,profileimageurl,userstatusescount,userfriendscount,userfollowerscount,usercreatedat,userbio,userlocation,userverified,sentiment
"negatif,positif","positif,wakil",11,10,91992,1.36E+18,https://twitter.com/FRPrayogo/statuses/1355786658264846336,https://twitter.com/FRPrayogo/statuses/1355786658264846336,FRPrayogo,,Wakil Wali Kota Depok Pradi Supriatna terkonfirmasi positif COVID-19. Saat ini ia dirawat di RSUD kota Depok. #Depok  https://t.co/vdyTBAlPJX,1/31/2021 2:55,Twitter Web App,0,3,in,,retweet,,0,0,detikcom,69183155,1.36E+18,292255033,https://pbs.twimg.com/profile_images/897779760834555905/RnScoFEX_normal.jpg,39452,157,150,5/3/2011 6:51,?????? ??????? ???????????? ??????????,D.K.I Jakarta,,1
"negatif,positif","bekerja,berbahaya,kita,sendirian",12,11,50587,1.35E+18,https://twitter.com/Lima8Satu/statuses/1354588148940984324,https://twitter.com/Lima8Satu/statuses/1354588148940984324,Lima8Satu,,"Tembus 1 Juta Kasus COVID-19, Menkes Budi: Rakyat Indonesia Dan Pemerintah Harus Bekerja Sama Atasi Pandemi   Saatnya kita bersatu untuk mengatasi pandemi ini, jgn kita biarkan pemerintah sendirian  Fix Vaksin Tak Berbahaya #BaladaCintaRijikFirzaHots  https://t.co/7tUpviWIL3",1/27/2021 19:32,Twitter for Android,0,7,in,,retweet,,0,0,wildoenie,1.33E+18,1.35E+18,1.24E+18,https://pbs.twimg.com/profile_images/1346928826236899330/htYmBf9H_normal.jpg,30109,11346,17504,3/9/2020 9:50,#MM03 #SM01 #MutualMilenial #SrikandiMandiri Menunggu Kehidupan ke2     2020 maret 9 21:21,"Jawa Barat, Indonesia",,1
"negatif,positif","aman,bisa,kembali,kesehatan,mendorong,pemulihan",13,12,64516,1.35E+18,https://twitter.com/Chaterinee_08/statuses/1354956845295792132,https://twitter.com/Chaterinee_08/statuses/1354956845295792132,Chaterinee_08,,Program Vaksinasi Nasional adlh asa baru bagi masyarakat utk bisa kembali bergerak normal spt sblm adanya pandemi...   Pulihnya kesehatan akan mendorong percepatan pemulihan ekonomi nasional ??  Vaksin Mantul Terbukti Aman #UngkapMotifAsingDibalikFPI https://t.co/zaSI43KgZw,1/28/2021 19:57,Twitter for Android,0,11,in,,retweet,,0,0,RETHA_Monicaa,1.23E+18,1.35E+18,1.13E+18,https://pbs.twimg.com/profile_images/1349024645685469185/uyT4YVAl_normal.jpg,67655,19686,25250,5/22/2019 1:53,,"Tangerang, Banten",,1
negatif,mungkin,14,13,8323,1.35E+18,https://twitter.com/Hardepi3/statuses/1353548184480403456,https://twitter.com/Hardepi3/statuses/1353548184480403456,Hardepi3,,"Mungkin ada yg belum tau, bahwa ada lembaga atau badan yg turut mengawasi program vaksinasi. Dilansir dari situs kovid19, Komnas KIPI terus memantau pelaksanaan program vaksinasi termasuk mendengarkan laporan masyarakat. https://t.co/bMSruz7Lwp",1/24/2021 22:40,Twitter for Android,0,15,in,,retweet,,0,0,Ch_Chotlmah,1.26E+18,1.35E+18,1.05E+18,https://pbs.twimg.com/profile_images/1255847986887680002/xi8qIpyc_normal.jpg,15700,6893,7093,10/1/2018 22:58,#JalinPersatuan #IndonesiaTanpaRasis ITRO2?3  ???? Kebersamaan yang Saling Melengkapi dan Mengingatkan untuk NKRI ????,United States,,1
positif,pertama,15,14,61057,1.35E+18,https://twitter.com/infoKWB/statuses/1354787477161054209,https://twitter.com/infoKWB/statuses/1354787477161054209,infoKWB,RT @radar_malang: Hari Pertama 4 Puskesmas Batu Vaksin Ratusan Nakes #Vaksinasi @infoKWB https://t.co/huj2FcpjqU,Hari Pertama 4 Puskesmas Batu Vaksin Ratusan Nakes #Vaksinasi @infoKWB https://t.co/huj2FcpjqU,1/28/2021 8:44,Twitter for Android,0,1,in,,retweet,,0,0,radar_malang,528590547,1.35E+18,957674694,https://pbs.twimg.com/profile_images/669901883360677889/1T5vyESq_normal.jpg,4134,45,2122,11/19/2012 10:47,Info Kota Wisata Batu via Mention + #wisataBatu #indieBatu #trafficBatu #lapakBatu #kulinerBatu.,Kota Wisata Batu,,1
"negatif,positif","kesehatan,kita,kurang,tetap",16,15,41970,1.35E+18,https://twitter.com/SmartMom_1/statuses/1354352053095600133,https://twitter.com/SmartMom_1/statuses/1354352053095600133,SmartMom_1,,"Sudah dua pekan kita menggelar vaksinasi massal Covid-19. Hari ini, sudah sekitar 250.000 tenaga kesehatan yang telah menjalani vaksinasi.   Memang terasa masih kurang, tapi dari hari ke hari kita tetap membenahi manajemen pelaksanaan vaksinasi. https://t.co/iKD09TATzn",1/27/2021 3:54,Twitter for Android,0,423,in,,retweet,,0,0,jokowi,366987179,1.35E+18,1.30E+18,https://pbs.twimg.com/profile_images/1318248669993267200/TlKzGT_x_normal.jpg,13136,9675,9654,9/4/2020 8:21,"???? #IndonesiaMaju ???? @SmileMom_  ???? ??Tentang Kehamilan, Janin & Solusinya buat Bunda ????  #programfolback #milenialku #KulinerNusantara ????",Indonesia ????,,1
"negatif,positif","berbahaya,kerja,mendukung",17,16,51020,1.35E+18,https://twitter.com/Rainy_Q19/statuses/1354591032323710979,https://twitter.com/Rainy_Q19/statuses/1354591032323710979,Rainy_Q19,,https://t.co/OwuyPolM0f Untuk mendukung kerja pemerintah menunjuk dua BUMN yakni PT Telekomunisasi Indonesia dan PT Bio Farma untuk menyelenggarakan Sistem Informasi Satu Data Vaksinasi COVID-19. Fix Vaksin Tak Berbahaya #BaladaCintaRijikFirzaHots,1/27/2021 19:44,Twitter for Android,0,5,in,,retweet,,0,0,Ranisor,1.14E+18,1.35E+18,1.22E+18,https://pbs.twimg.com/profile_images/1343066670424735745/ZtJsVvvv_normal.jpg,27686,687,842,1/18/2020 12:26,"Aku Berdiri untuk Indonesia, Untuk Merah Putih ????",Indonesia,,1
,,18,17,17266,1.35E+18,https://twitter.com/mediaindonesia/statuses/1353788617655652352,https://twitter.com/mediaindonesia/statuses/1353788617655652352,mediaindonesia,Rencananya pekan ini vaksin Covid-19 akan didistribusikan dari Pemprov Jawa Timur ke Kabupaten Tuban dengan jumlah 3.360 dosis.   https://t.co/bwZpkyYO00,Rencananya pekan ini vaksin Covid-19 akan didistribusikan dari Pemprov Jawa Timur ke Kabupaten Tuban dengan jumlah 3.360 dosis.   https://t.co/bwZpkyYO00,1/25/2021 14:35,micom,1,0,in,,original,,0,0,,0,0,68930552,https://pbs.twimg.com/profile_images/1348531084711976965/VJzdG-_x_normal.jpg,642168,92,1490338,8/26/2009 4:17,Akun Twitter Resmi Media Indonesia | Jujur Bersuara | #EditorialMI,Jakarta - Indonesia,1,1
"negatif,positif","bahaya,kesehatan,kuat,menjamin,penyakit,percaya,virus",19,18,4102,1.35E+18,https://twitter.com/LgVeder/statuses/1353495467309424640,https://twitter.com/LgVeder/statuses/1353495467309424640,LgVeder,"Msyrkt jangan percaya dengan hoaks.Setiap upaya yang dilakukan pemerintah, termasuk upaya vaksinasi Covid adalah demi menjamin kesehatan masyarakat dari bahaya penyakit yang ditularkan oleh virus ini. Vaksin Lancar Rakyat Kuat #SitaTanahMarkasIlegalFPI  https://t.co/wNpUCtuAln","Msyrkt jangan percaya dengan hoaks.Setiap upaya yang dilakukan pemerintah, termasuk upaya vaksinasi Covid adalah demi menjamin kesehatan masyarakat dari bahaya penyakit yang ditularkan oleh virus ini. Vaksin Lancar Rakyat Kuat #SitaTanahMarkasIlegalFPI  https://t.co/wNpUCtuAln",1/24/2021 19:10,Twitter for Android,4,3,in,,original,,0,0,,0,0,1.19E+18,https://pbs.twimg.com/profile_images/1349176116037079040/TwMTcoDd_normal.png,14286,4721,4003,10/22/2019 2:06,Pancasila Rumah Kita #Libertarian,Indonesia,,1
positif,"hebat,rekomendasi",20,19,1056,1.35E+18,https://twitter.com/salehhaji5/statuses/1353285342204366854,https://twitter.com/salehhaji5/statuses/1353285342204366854,salehhaji5,,NAH Looh??  ?????????????? ?????????? ???? ???????????????????????????? ??????  Sinovac malah  tidak ada rekomendasi WHO u/ di gunakan karna berada di level vaksin terendah  Kalau emang HEBAT tentu WHO telah anjurkan pake sinovac  cc:@jokowi @KemenkesRI https://t.co/ebc3bwCQhm,1/24/2021 5:15,Twitter for iPhone,0,155,in,,retweet,,0,0,demokrasiambyar,1.34E+18,1.35E+18,9.57E+17,https://pbs.twimg.com/profile_images/957628585153462273/WFQ_KHdB_normal.jpg,20123,78,150,1/27/2018 9:34,Keluarga,"Kota Tanjung Pinang, Kepulauan Riau",,-1
"negatif,positif","cepat,mungkin,positif,terjadi",21,20,44872,1.35E+18,https://twitter.com/dareen_troy/statuses/1354407545008349184,https://twitter.com/dareen_troy/statuses/1354407545008349184,dareen_troy,,"??????????????  1. Semenjak diLantik menjadi Menkes @Kemenkes_RI, Budi Gunadi Sadikin sudah diwanti2 kemungkinan terjadinya lonjakan kasus positif Covid-19 pasca liburan. Menkes gerak cepat melakukan sejumlah langkah utk merespon situasi yg mungkin terjadi https://t.co/0TXbvUlDuW https://t.co/KjehbSDTm2",1/27/2021 7:34,Twitter for Android,0,22,in,,retweet,,0,0,NinjaCir3ng,8.91E+17,1.35E+18,1.16E+18,https://pbs.twimg.com/profile_images/1341658260248489984/_KLqPzSK_normal.jpg,213,16,1,7/29/2019 8:19,pubg os the best,"Nusa Tenggara Timur, Indonesia",,1
"negatif,positif","bisa,dukung,kita",22,21,19170,1.35E+18,https://twitter.com/catatankakihati/statuses/1353872973090889728,https://twitter.com/catatankakihati/statuses/1353872973090889728,catatankakihati,,"Dukung Vaksin Save NKRI #CabutHakPolitikEksHTIFPI https://t.co/hETFoIazwJ Mari kita dukung program pemerintah ini dalam melakukan vaksinasi supaya kita bisa memutus mata rantai penyebaran Covid-19 ini. Vaksin Sinovac ini sudah teruji klinis dari BPOM dan MUI,",1/25/2021 20:10,Twitter for iPhone,0,14,in,,retweet,,0,0,Ranisor,1.14E+18,1.35E+18,1.06E+18,https://pbs.twimg.com/profile_images/1342005926513975296/X6s1fdTv_normal.jpg,76638,5824,7375,10/30/2018 2:32,"pnikmt kopi, s-krim,coklat, DAN KAMuu #NGE - TWEET TUH PAKE KAKI BKN PAKE HATI! #traveller #miminnyaKumisan ????100%???? ANTI KADRUN KAMPRET =Auto Follback",Indonesia,,1
"negatif,positif","gejala,positif",23,22,16331,1.35E+18,https://twitter.com/Widiawati2944/statuses/1353715254102876160,https://twitter.com/Widiawati2944/statuses/1353715254102876160,Widiawati2944,,"Cerita Brigjen TNI Ahmad Rizal yang Positif Covid-19 setelah Disuntik Vaksin, Tak Alami Dua Gejala Ini   https://t.co/luo9nZSIj9   Download aplikasi Tribunnews untuk update berita terbaru    Dapatkan untuk Android:  https://t.co/Nj9uuhpLjy    via @tribunnews",1/25/2021 9:44,Twitter Web App,0,1,in,,retweet,,0,0,tribunnews,124171593,1.35E+18,8.31E+17,https://pbs.twimg.com/profile_images/1311890227816878080/dcd4pyGC_normal.jpg,1277,291,79,2/13/2017 10:10,Tak ada satupun yg mampu mnjdi sepertimu,Indonesia,,1
,,24,23,47266,1.35E+18,https://twitter.com/Aryprasetyo85/statuses/1354437889753456640,https://twitter.com/Aryprasetyo85/statuses/1354437889753456640,Aryprasetyo85,,,1/27/2021 9:35,Twitter for Android,0,3,in,,retweet,,0,0,Mahadewi68,1.06E+18,1.35E+18,435004096,https://pbs.twimg.com/profile_images/1275956665515298817/RTtILPjh_normal.jpg,154511,7494,55378,12/12/2011 10:29,,"Jakarta Pusat, DKI Jakarta",,1
,,25,24,61255,1.35E+18,https://twitter.com/Polsekbangil2/statuses/1354796627194568704,https://twitter.com/Polsekbangil2/statuses/1354796627194568704,Polsekbangil2,*KAPOLRES PASURUAN BERSAMA* FORKOPIMDA PASURUAN AWALI VAKSINASI COVID - 19 DI KABUPATEN PASURUAN  #JOGOPASURUAN #PASURUANKEBALCOVID  #JATIMBERMASKER https://t.co/RYGI6udtsX,*KAPOLRES PASURUAN BERSAMA* FORKOPIMDA PASURUAN AWALI VAKSINASI COVID - 19 DI KABUPATEN PASURUAN  #JOGOPASURUAN #PASURUANKEBALCOVID  #JATIMBERMASKER https://t.co/RYGI6udtsX,1/28/2021 9:21,Twitter for Android,0,0,in,,original,,0,0,,0,0,1.22E+18,https://pbs.twimg.com/profile_images/1217628085681393664/0EEQ9ZiX_normal.jpg,3462,23,20,1/15/2020 20:59,NasiPunel,"Bangil, Indonesia",,1
"negatif,positif","bisa,dukung,gratis,kita,sedikit",26,25,57797,1.35E+18,https://twitter.com/NinjaCir3ng/statuses/1354721612306771970,https://twitter.com/NinjaCir3ng/statuses/1354721612306771970,NinjaCir3ng,,Rasanya kita bisa bernapas sedikit lbh lega...  Setelah pelaksanaan vaksin dilakukan. Apalagi pemberian vaksin gratis o/ pemerintah.  Ada secercah harapan Pandemic bs sgr kita lewati. Dukung program vaksinasi Kemenkes. Masih ttp lakukan prokes yak ???? https://t.co/m10o0hb0Yj,1/28/2021 4:22,Twitter Web App,0,9,in,,retweet,,0,0,Je_Ly,68311814,1.35E+18,8.91E+17,https://pbs.twimg.com/profile_images/1339821410911305728/BBsuSMP9_normal.jpg,97863,9529,12146,7/28/2017 9:58,"it\'s my way,ninja way, moving in silence and hide in the crowd, Real Acc,Real Reply,Real RT,Real Like, No DM,No Porn,No Racist  -Sid Vicious here- PUNK NOT DEAD",Close To U,,1
positif,"baik,terima",27,26,67267,1.36E+18,https://twitter.com/AEPishere/statuses/1355025604198846464,https://twitter.com/AEPishere/statuses/1355025604198846464,AEPishere,,"Terima Vaksin Covid-19 Kedua, Danrem 061/SK: Jangan Menyia-nyiakan Kesempatan Baik Ini https://t.co/osgicGs8NI https://t.co/IgZGLmujud",1/29/2021 0:30,Twitter for iPhone,0,1,in,,retweet,,0,0,KompasTV,71436318,1.36E+18,242704195,https://pbs.twimg.com/profile_images/1043313105504092160/ymvxx7_E_normal.jpg,959820,5013,3115,1/25/2011 6:55,Pecinta Sepakbola Indonesia|SONIQ 1620 2100 1795 0000|? travelling|Alumni FKUI&MARS URINDO|Pendengar Setia @987GenFM|COmate = Alovers + Kivers + SONIQ + Bstarz,Jakarta,,1
positif,terima,28,27,34803,1.35E+18,https://twitter.com/PRFMnews/statuses/1354270521664303106,https://twitter.com/PRFMnews/statuses/1354270521664303106,PRFMnews,Ini kata Presiden @jokowi usai terima dosis kedua vaksin Covid-19 https://t.co/CdvaCY9Mgq,Ini kata Presiden @jokowi usai terima dosis kedua vaksin Covid-19 https://t.co/CdvaCY9Mgq,1/26/2021 22:30,Twitter Web App,0,0,in,,original,,0,0,,0,0,150589950,https://pbs.twimg.com/profile_images/1323557607425019905/aqeiYjUT_normal.jpg,661906,3214,258357,6/1/2010 5:21,Akun resmi Radio PRFM | Radio Berita No 1 di Bandung | Part of Pikiran Rakyat Media Network | Tlp 022 4221075 | SMS/WA 0818811075 Email prfm@pikiran-rakyat.com,"Bandung, West Java, Indonesia",,1
"negatif,positif","lawan,siap",29,28,28555,1.35E+18,https://twitter.com/philtama26/statuses/1354073322032521216,https://twitter.com/philtama26/statuses/1354073322032521216,philtama26,"@Verajunivar Resep jitu bersatu lawan COVID-19: patuhi protokol 3M, siap divaksinasi saat vaksin siap, jagalah imunitas tubuh dan jangan terpancing hoaks. https://t.co/MIAxHZxGWY","@Verajunivar Resep jitu bersatu lawan COVID-19: patuhi protokol 3M, siap divaksinasi saat vaksin siap, jagalah imunitas tubuh dan jangan terpancing hoaks. https://t.co/MIAxHZxGWY",1/26/2021 9:26,Twitter for Android,0,0,in,,reply,Verajunivar,359978491,1.35E+18,,0,0,1690667190,https://pbs.twimg.com/profile_images/1343526555608223744/RTv63VU__normal.jpg,16265,328,182,8/22/2013 6:49,Alhamdulillah kalo lucu. Ngakunya jamaah #SobatSakit,Stretford End,,1
negatif,"kedahsyatan,membanjiri,membunuh",30,29,86872,1.36E+18,https://twitter.com/cccc0123cccc/statuses/1355657218687782916,https://twitter.com/cccc0123cccc/statuses/1355657218687782916,cccc0123cccc,,"Kami penduduk Indonesia yg berusia 60+, perlu dilindungi dengan vaksinasi di tengah kedahsyatan pandemi yg sudah membunuh kaum lansia, sudah membanjiri RS. Jangan kaum tua, kalian campakkan, dan bukan dilupakan. @jokowi @BudiGSadikin  @DPR_RI @mprgoid @BPOM_RI @KemenkesRI https://t.co/q9dteZfCMU",1/30/2021 18:20,Twitter for Android,0,15,in,,retweet,,0,0,drpriono1,1.30E+18,1.36E+18,78052012,https://pbs.twimg.com/profile_images/1335520577512034306/GA5q4Dmh_normal.jpg,36731,2089,663,9/28/2009 12:14,,anywhere,,1
"negatif,positif","aman,berarti,takut",31,30,56713,1.35E+18,https://twitter.com/omnivoraeus/statuses/1354698090104557570,https://twitter.com/omnivoraeus/statuses/1354698090104557570,omnivoraeus,,"Hari ini saya disuntik dosis kedua vaksinasi COVID-19. Sampai sekarang ga ada efek samping berarti, kecuali takut jarumnya. Tapi tetep jaga jarak, cuci tangan, dan pakai masker ya.  Ga perlu takut, vaksinnya aman kok. Saya udah cobain. https://t.co/BKKFHWEakA",1/28/2021 2:49,Twitter for Android,0,59,in,,retweet,,0,0,jiemiardian,68714545,1.35E+18,2320269942,https://pbs.twimg.com/profile_images/1353947535484669953/8GOgQGwJ_normal.jpg,16345,621,547,1/31/2014 0:23,"Kebanggan diri sendiri (dan keluarga, Aamiin)",00\'s,,1
,,32,31,17431,1.35E+18,https://twitter.com/kraksaan_online/statuses/1353833892667666433,https://twitter.com/kraksaan_online/statuses/1353833892667666433,kraksaan_online,3000 Vaksin Sinovac Tahap 1 Tiba Di Probolinggo https://t.co/Mz99a071gf #COVID #VaksiSinovac #Vaksinasi,3000 Vaksin Sinovac Tahap 1 Tiba Di Probolinggo https://t.co/Mz99a071gf #COVID #VaksiSinovac #Vaksinasi,1/25/2021 17:35,kraksaan,0,0,in,,original,,0,0,,0,0,361651536,https://pbs.twimg.com/profile_images/1339777228444377089/W82SM8Cz_normal.jpg,8467,73,510,8/24/2011 23:30,Official Account News Portal Kraksaan Online,,,1
,,33,32,15598,1.35E+18,https://twitter.com/harun_rr/statuses/1353698542183825408,https://twitter.com/harun_rr/statuses/1353698542183825408,harun_rr,,,1/25/2021 8:37,Twitter for Android,0,0,in,,reply,rdestarisa,112361861,1.35E+18,,0,0,105062814,https://pbs.twimg.com/profile_images/1350430087791796228/c7ZklnsQ_normal.jpg,16448,636,439,1/15/2010 2:06,Mencari harta harun | Visualization enthusiast & illustrator,indonesia,,1
"negatif,positif","berikut,cerdas,hoax",34,33,87546,1.36E+18,https://twitter.com/SwanLakee8/statuses/1355670798967726088,https://twitter.com/SwanLakee8/statuses/1355670798967726088,SwanLakee8,,Penjelasan hoax seputar vaksin sinovac Berikut link counternya. Baca yuk biar cerdas hehe  Stop Framing Hoaks Vaksin #IndonesiaBersih2Radikalisme https://t.co/feAqwx0dNL,1/30/2021 19:14,Twitter for Android,0,8,in,,retweet,,0,0,9iseeel,2443521056,1.36E+18,490440450,https://pbs.twimg.com/profile_images/1353880307297091586/1FTUe1yp_normal.jpg,10527,3065,2747,2/12/2012 10:17,,"Banten, Indonesia",,1
"negatif,positif","baik,gejala,mengatakan,pertama",35,34,55060,1.35E+18,https://twitter.com/MalvaSelena/statuses/1354662342408032260,https://twitter.com/MalvaSelena/statuses/1354662342408032260,MalvaSelena,,"Terkait vaksinasi, Pak @ganjarpranowo tdk merasakan gejala. Sm spt vaksinasi pertama.  Beliau pun mengatakan respon masyarakat baik dan byk yg bertanya kapan mendpt giliran.  Jadi mari siap2, tunggu antreannya ya.. krn ini menunggu regulasi dan dtgnya vaksin.  #GanjarDivaksinKe2 https://t.co/66k4ktT9Zw",1/28/2021 0:27,Twitter Web App,0,11,in,,retweet,,0,0,DiniHrdianti,250614155,1.35E+18,1162115906,https://pbs.twimg.com/profile_images/1344172613682122753/TtgpDOYk_normal.jpg,75840,2239,10843,2/9/2013 1:04,#PorosTengah #LaskarBerbagiKasih   ??Just Ordinary Person??  BLM DIFOLLBACK?? SILAHKAN DM  ??BLOKIR ?Akun Bokep?  Follow demi GA trus Unfoll ?? BLOKIR,"Surakarta, Jawa Tengah",,1
