category,indicator,indicator_friendly,type_data,latitude,longitude,region_id,country_id,name,year,value
Health,children_with_diarrhea_urban,Proportion of children with diarrhea in last two weeks – Urban,p,-5,120,789,ID,Indonesia,2004,11.2
Population,death_per_1000_live_births,Deaths per 1000 live births,n,-5,120,789,ID,Indonesia,1990,60
Population,death_per_1000_live_births,Deaths per 1000 live births,n,-5,120,789,ID,Indonesia,1960,128
Population,death_per_1000_live_births,Deaths per 1000 live births,n,-5,120,789,ID,Indonesia,1995,48
Population,death_per_1000_live_births,Deaths per 1000 live births,n,-5,120,789,ID,Indonesia,2000,36
Population,death_per_1000_live_births,Deaths per 1000 live births,n,-5,120,789,ID,Indonesia,1970,104
Population,death_per_1000_live_births,Deaths per 1000 live births,n,-5,120,789,ID,Indonesia,2005,28
Population,death_per_1000_live_births,Deaths per 1000 live births,n,-5,120,789,ID,Indonesia,2007,24.8
Population,death_per_1000_live_births,Deaths per 1000 live births,n,-5,120,789,ID,Indonesia,1980,79
Education,net_enrolment_rate_1_shelter_deprivation,Net enrolment rate in primary education in urban and rural areas (Male) – 1 Shelter deprivation,p,-5,120,789,ID,Indonesia,2002,78.2
Education,net_enrolment_rate_1_shelter_deprivation,Net enrolment rate in primary education in urban and rural areas (Male) – 1 Shelter deprivation,p,-5,120,789,ID,Indonesia,1991,76.3
Education,net_enrolment_rate_1_shelter_deprivation,Net enrolment rate in primary education in urban and rural areas (Male) – 1 Shelter deprivation,p,-5,120,789,ID,Indonesia,1994,78
Education,net_enrolment_rate_1_shelter_deprivation,Net enrolment rate in primary education in urban and rural areas (Male) – 1 Shelter deprivation,p,-5,120,789,ID,Indonesia,1997,77.9
Health,hiv_prevalence_15_to_49_year,HIV prevalence among population 15-49 year,p,-5,120,789,ID,Indonesia,2001,0.05
Health,hiv_prevalence_15_to_49_year,HIV prevalence among population 15-49 year,p,-5,120,789,ID,Indonesia,2003,0.1
Streets,total_road_network,Total road network (in km),n,-5,120,789,ID,Indonesia,2000,372929
Resilience,refugees_by_country_of_origin,Number of refugees by country of origin,n,-5,120,789,ID,Indonesia,2005,34384
Transport,owner_motorcycle_rural_area,Ownership of motorcycle – rural area,p,-5,120,789,ID,Indonesia,1994,10.9
Transport,owner_motorcycle_rural_area,Ownership of motorcycle – rural area,p,-5,120,789,ID,Indonesia,2002,21.9
Transport,owner_motorcycle_rural_area,Ownership of motorcycle – rural area,p,-5,120,789,ID,Indonesia,1997,16.5
Transport,owner_motorcycle_rural_area,Ownership of motorcycle – rural area,p,-5,120,789,ID,Indonesia,2007,37.3
City prosperity,cpi_4_dimensions,City Prosperity Index with 4 dimensions,p,-6.174418,106.829438,789,ID,Jakarta,2012,0.743
Population,number_of_cities_10_million_or_more,Number of cities by country – 10 million or more inhabitants,n,-5,120,789,ID,Indonesia,2025,1
Population,number_of_cities_10_million_or_more,Number of cities by country – 10 million or more inhabitants,n,-5,120,789,ID,Indonesia,2020,1
Population,number_of_cities_10_million_or_more,Number of cities by country – 10 million or more inhabitants,n,-5,120,789,ID,Indonesia,2015,1
Health,children_with_diarrhea_rural,Proportion of children with diarrhea in last two weeks – Rural,p,-5,120,789,ID,Indonesia,1992,10.7
Health,children_with_diarrhea_rural,Proportion of children with diarrhea in last two weeks – Rural,p,-5,120,789,ID,Indonesia,2004,10.8
Population,pop_urban_percentage,Percentage of national population living in urban areas,p,-5,120,789,ID,Indonesia,2007,50.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,0.564964,101.425013,789,ID,Pekanbaru,2000,0.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,0.564964,101.425013,789,ID,Pekanbaru,2010,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,0.564964,101.425013,789,ID,Pekanbaru,2020,0.9
Slum dwellers,urban_population_share_national,Share in national urban population,p,-0.960007,100.360013,789,ID,Padang,2000,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,-0.960007,100.360013,789,ID,Padang,2010,0.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,-0.960007,100.360013,789,ID,Padang,2020,0.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,-6.950029,107.570013,789,ID,Bandung,2000,2.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,-6.950029,107.570013,789,ID,Bandung,2010,2
Slum dwellers,urban_population_share_national,Share in national urban population,p,-6.950029,107.570013,789,ID,Bandung,2020,1.9
Slum dwellers,urban_population_share_national,Share in national urban population,p,-7.249236,112.750833,789,ID,Surabaya,2000,2.9
Slum dwellers,urban_population_share_national,Share in national urban population,p,-7.249236,112.750833,789,ID,Surabaya,2010,2.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,-7.249236,112.750833,789,ID,Surabaya,2020,2.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,-5.430019,105.269998,789,ID,Bandar Lampung,2000,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,-5.430019,105.269998,789,ID,Bandar Lampung,2010,0.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,-5.430019,105.269998,789,ID,Bandar Lampung,2020,0.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,-6.570001,106.750011,789,ID,Bogor,2000,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,-6.570001,106.750011,789,ID,Bogor,2010,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,-6.570001,106.750011,789,ID,Bogor,2020,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,-7.979992,112.610015,789,ID,Malang,2000,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,-7.979992,112.610015,789,ID,Malang,2010,0.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,-7.979992,112.610015,789,ID,Malang,2020,0.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,-8.715113,115.184121,789,ID,Kuta,2000,0.5
Slum dwellers,urban_population_share_national,Share in national urban population,p,-8.715113,115.184121,789,ID,Kuta,2010,0.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,-8.715113,115.184121,789,ID,Kuta,2020,0.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,-6.966617,110.420019,789,ID,Semarang,2000,1.6
Slum dwellers,urban_population_share_national,Share in national urban population,p,-6.966617,110.420019,789,ID,Semarang,2010,1.3
Slum dwellers,urban_population_share_national,Share in national urban population,p,-6.966617,110.420019,789,ID,Semarang,2020,1.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,-2.980039,104.75003,789,ID,Palembang,2000,1.6
Slum dwellers,urban_population_share_national,Share in national urban population,p,-2.980039,104.75003,789,ID,Palembang,2010,1.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,-2.980039,104.75003,789,ID,Palembang,2020,1.1
Slum dwellers,urban_population_share_national,Share in national urban population,p,-5.139959,119.432028,789,ID,Ujungpandang,2000,1.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,-5.139959,119.432028,789,ID,Ujungpandang,2010,1.1
Slum dwellers,urban_population_share_national,Share in national urban population,p,-5.139959,119.432028,789,ID,Ujungpandang,2020,1.2
Slum dwellers,urban_population_share_national,Share in national urban population,p,3.579974,98.65004,789,ID,Medan,2000,2.1
Slum dwellers,urban_population_share_national,Share in national urban population,p,3.579974,98.65004,789,ID,Medan,2010,1.8
Slum dwellers,urban_population_share_national,Share in national urban population,p,3.579974,98.65004,789,ID,Medan,2020,1.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,-6.174418,106.829438,789,ID,Jakarta,2000,9.4
Slum dwellers,urban_population_share_national,Share in national urban population,p,-6.174418,106.829438,789,ID,Jakarta,2010,8
Slum dwellers,urban_population_share_national,Share in national urban population,p,-6.174418,106.829438,789,ID,Jakarta,2020,7.7
Slum dwellers,urban_population_share_national,Share in national urban population,p,-0.500035,117.149996,789,ID,Samarinda,2000,0.6
Slum dwellers,urban_population_share_national,Share in national urban population,p,-0.500035,117.149996,789,ID,Samarinda,2010,0.6
Slum dwellers,urban_population_share_national,Share in national urban population,p,-0.500035,117.149996,789,ID,Samarinda,2020,0.7
Streets,percentage_of_roads,Percentage of roads measured in length,p,-5,120,789,ID,Indonesia,2000,55.3
City prosperity,cpi_environment_index,Environmental Sustainability index,p,-6.174418,106.829438,789,ID,Jakarta,2012,0.881
Slum dwellers,improved_spring_surface_water,Access to improved spring/surface water,p,-5,120,789,ID,Indonesia,1994,1.4
Slum dwellers,improved_spring_surface_water,Access to improved spring/surface water,p,-5,120,789,ID,Indonesia,1997,0.6
Streets,proportion_land_allocated_to_street_total,Proportion of land allocated to street – total,p,-6.174418,106.829438,789,ID,Jakarta,2013,9.5
Slum dwellers,improved_floor,Access to improved flooring,p,-5,120,789,ID,Indonesia,1994,84.4
Slum dwellers,improved_floor,Access to improved flooring,p,-5,120,789,ID,Indonesia,2002,86
Slum dwellers,improved_floor,Access to improved flooring,p,-5,120,789,ID,Indonesia,1991,79.2
Slum dwellers,improved_floor,Access to improved flooring,p,-5,120,789,ID,Indonesia,1997,87.3
Slum dwellers,improved_floor,Access to improved flooring,p,-5,120,789,ID,Indonesia,2007,88.6
Slum dwellers,literacy_rate_2_shelter_deprivation,Literacy rate by shelter deprivation – 2 Shelter deprivation,p,-5,120,789,ID,Indonesia,1994,82.2
Slum dwellers,literacy_rate_2_shelter_deprivation,Literacy rate by shelter deprivation – 2 Shelter deprivation,p,-5,120,789,ID,Indonesia,2002,85.6
Slum dwellers,literacy_rate_2_shelter_deprivation,Literacy rate by shelter deprivation – 2 Shelter deprivation,p,-5,120,789,ID,Indonesia,1997,88.9
Slum dwellers,literacy_rate_women_urban,Literacy rate by shelter deprivation (Women) – Urban,p,-5,120,789,ID,Indonesia,1994,89.8
Slum dwellers,literacy_rate_women_urban,Literacy rate by shelter deprivation (Women) – Urban,p,-5,120,789,ID,Indonesia,2002,91.5
Slum dwellers,literacy_rate_women_urban,Literacy rate by shelter deprivation (Women) – Urban,p,-5,120,789,ID,Indonesia,1997,92.8
Population,population_estimate_urban_agglomerations,Population estimate of urban agglomeration,n,-6.174418,106.829438,789,ID,Jakarta,2013,26746000
Slum dwellers,urban_population_percentage_500k_1m,Percentage of urban population (by country) – 500 000 to 1 million inhabitants,p,-5,120,789,ID,Indonesia,1960,13.32
Population,urban_agglomeration_population_density,Urban agglomeration population density (population/km²),n,-6.174418,106.829438,789,ID,Jakarta,2013,9600
City prosperity,cpi_equity_index,Equity Index,p,-6.174418,106.829438,789,ID,Jakarta,2012,0.885
Resilience,number_of_refugees_by_country_of_asylum,Number of refugees by country of asylum,n,-5,120,789,ID,Indonesia,2005,89
Slum dwellers,improved_sanitation_countries,Proportion of population with access to improved sanitation – Countries,p,-5,120,789,ID,Indonesia,1994,63.8
Slum dwellers,improved_sanitation_countries,Proportion of population with access to improved sanitation – Countries,p,-5,120,789,ID,Indonesia,2002,84.2
Slum dwellers,improved_sanitation_countries,Proportion of population with access to improved sanitation – Countries,p,-5,120,789,ID,Indonesia,1991,76.2
Slum dwellers,improved_sanitation_countries,Proportion of population with access to improved sanitation – Countries,p,-5,120,789,ID,Indonesia,1997,70.6
Slum dwellers,improved_sanitation_countries,Proportion of population with access to improved sanitation – Countries,p,-5,120,789,ID,Indonesia,2007,87.5
Resilience,loss_lives_by_droughts_per_million_population,Number of loss of lives by droughts per million population,n,-5,120,789,ID,Indonesia,1980,0.34
Health,children_with_diarrhea_total,Proportion of children with diarrhea in last two weeks – Total,p,-5,120,789,ID,Indonesia,1992,11
Health,children_with_diarrhea_total,Proportion of children with diarrhea in last two weeks – Total,p,-5,120,789,ID,Indonesia,2004,11
City prosperity,cpi_5_dimensions,City Prosperity Index with 5 dimensions,p,-6.174418,106.829438,789,ID,Jakarta,2012,0.769
City prosperity,cpi_infrastructure_index,Infrastructure Development index,p,-6.174418,106.829438,789,ID,Jakarta,2012,0.741
Slum dwellers,improved_toilet,Access to improved toilet,p,-5,120,789,ID,Indonesia,1994,63.8
Slum dwellers,improved_toilet,Access to improved toilet,p,-5,120,789,ID,Indonesia,2002,84.3
Slum dwellers,improved_toilet,Access to improved toilet,p,-5,120,789,ID,Indonesia,1991,76.2
Slum dwellers,improved_toilet,Access to improved toilet,p,-5,120,789,ID,Indonesia,1997,70.7
Slum dwellers,improved_toilet,Access to improved toilet,p,-5,120,789,ID,Indonesia,2007,87.5
Streets,paved_road,Paved roads,p,-5,120,789,ID,Indonesia,2009,56.9
Population,under_5_mortality_rate,Under-Five mortality rate (Deaths per 1000 live births),n,-5,120,789,ID,Indonesia,1990,91
Population,under_5_mortality_rate,Under-Five mortality rate (Deaths per 1000 live births),n,-5,120,789,ID,Indonesia,1960,216
Population,under_5_mortality_rate,Under-Five mortality rate (Deaths per 1000 live births),n,-5,120,789,ID,Indonesia,1995,66
Population,under_5_mortality_rate,Under-Five mortality rate (Deaths per 1000 live births),n,-5,120,789,ID,Indonesia,2000,48
Population,under_5_mortality_rate,Under-Five mortality rate (Deaths per 1000 live births),n,-5,120,789,ID,Indonesia,1970,172
Population,under_5_mortality_rate,Under-Five mortality rate (Deaths per 1000 live births),n,-5,120,789,ID,Indonesia,2005,36
Population,under_5_mortality_rate,Under-Five mortality rate (Deaths per 1000 live births),n,-5,120,789,ID,Indonesia,2007,31.2
Population,under_5_mortality_rate,Under-Five mortality rate (Deaths per 1000 live births),n,-5,120,789,ID,Indonesia,1980,125
Streets,total_length_road,Total length of road network (km),n,-5,120,789,ID,Indonesia,2009,476337
Slum dwellers,urban_population_percentage_5m_to_10m,Percentage of urban population (by country) – 5 to 10 million inhabitants,p,-5,120,789,ID,Indonesia,1980,17.92
Slum dwellers,urban_population_percentage_5m_to_10m,Percentage of urban population (by country) – 5 to 10 million inhabitants,p,-5,120,789,ID,Indonesia,1990,14.62
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,0.564964,101.425013,789,ID,Pekanbaru,1990,99.5
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,0.564964,101.425013,789,ID,Pekanbaru,1991,100
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,0.564964,101.425013,789,ID,Pekanbaru,1993,99.5
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,0.564964,101.425013,789,ID,Pekanbaru,1994,83.4
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,0.564964,101.425013,789,ID,Pekanbaru,1997,76.5
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,0.564964,101.425013,789,ID,Pekanbaru,1998,95.1
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,0.564964,101.425013,789,ID,Pekanbaru,2000,92.2
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,0.564964,101.425013,789,ID,Pekanbaru,2002,91.8
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,0.564964,101.425013,789,ID,Pekanbaru,2003,87.7
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,-6.950029,107.570013,789,ID,Bandung,1994,96.2
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,-6.950029,107.570013,789,ID,Bandung,2007,93.4
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,-6.950029,107.570013,789,ID,Bandung,1997,73.2
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,-6.950029,107.570013,789,ID,Bandung,2002,87.7
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,-6.950029,107.570013,789,ID,Bandung,1991,98.3
Slum dwellers,improved_sanitation_cities,Proportion of population with access to improved sanitation – Cities,p,-6.570001,106.750011,789,ID,Bogor,1994,86.9
